Catalog_Number,Date,TD_Greatest_Eclipse,Delta_T,Saros,Type,Type_Full,Gamma,Penumbral_Magnitude,Umbral_Magnitude,Penumbral_Duration_Min,Partial_Duration_Min,Total_Duration_Min,Zenith_Latitude,Zenith_Longitude,P1_UTC_ms,U1_UTC_ms,U2_UTC_ms,Max_UTC_ms,U3_UTC_ms,U4_UTC_ms,P4_UTC_ms
09240,1828-03-31,10:38:46,8,100,N,N,-1.463,0.1917,-0.8446,126.9,0,0,-6,-159,-4473325489000,,,-4473321682000,,,-4473317875000
09241,1828-04-29,22:28:38,8,138,N,N,1.2674,0.5318,-0.4671,197.2,0,0,-13,22,-4470779406000,,,-4470773490000,,,-4470767574000
09242,1828-09-23,14:19:43,8,105,N,N,1.4724,0.1424,-0.8302,102,0,0,2,143,-4458105085000,,,-4458102025000,,,-4458098965000
09243,1828-10-23,00:44:42,8,143,N,N,-1.1889,0.6793,-0.3263,218.5,0,0,10,-15,-4455565481000,,,-4455558926000,,,-4455552371000
09244,1829-03-20,14:08:14,8,110,P,P,-0.7891,1.4527,0.368,324.5,141.5,0,-1,150,-4442733249000,-4442727759000,,-4442723514000,,-4442719269000,-4442713779000
09245,1829-09-13,06:33:27,8,115,P,P,0.7509,1.455,0.5046,277.7,143.9,0,-3,-100,-4427466332000,-4427462318000,,-4427458001000,,-4427453684000,-4427449670000
09246,1830-03-09,13:42:57,7,120,T,T-,-0.0824,2.751,1.6632,374.2,233.4,103.3,4,157,-4412150656000,-4412146432000,-4412142529000,-4412139430000,-4412136331000,-4412132428000,-4412128204000
09247,1830-09-02,22:37:55,7,125,T,T+,0.0371,2.776,1.8034,327.9,215.7,100.2,-8,20,-4396824369000,-4396821003000,-4396817538000,-4396814532000,-4396811526000,-4396808061000,-4396804695000
09248,1831-02-26,16:56:21,7,130,P,P,0.6246,1.7346,0.6897,324.7,176.2,0,9,109,-4381551967000,-4381547512000,,-4381542226000,,-4381536940000,-4381532485000
09249,1831-08-23,09:59:56,7,135,P,P,-0.7428,1.5067,0.4833,309.1,152.4,0,-12,-149,-4366197284000,-4366192583000,,-4366188011000,,-4366183439000,-4366178738000
09250,1832-01-17,16:18:15,7,102,N,N,-1.4135,0.2527,-0.7245,132.8,0,0,19,118,-4353468496000,,,-4353464512000,,,-4353460528000
09251,1832-02-16,03:20:41,7,140,N,N,1.2783,0.5083,-0.4838,188,0,0,14,-46,-4350924806000,,,-4350919166000,,,-4350913526000
09252,1832-07-12,23:15:58,6,107,N,N,1.3081,0.4929,-0.5769,209.3,0,0,-21,12,-4338152927000,,,-4338146648000,,,-4338140369000
09253,1832-08-11,14:14:52,6,145,N,Nb,-1.5396,0.0662,-1,79.1,0,0,-17,148,-4335589487000,,,-4335587114000,,,-4335584741000
09254,1833-01-06,07:59:45,6,112,P,P,-0.7611,1.4491,0.4733,280.2,140.5,0,22,-118,-4322830827000,-4322826636000,,-4322822421000,,-4322818206000,-4322814015000
09255,1833-07-02,00:43:22,6,117,P,P,0.5329,1.9036,0.8572,342.3,196.1,0,-23,-10,-4307566073000,-4307561687000,,-4307555804000,,-4307549921000,-4307545535000
09256,1833-12-26,21:32:54,6,122,T,T-,-0.0951,2.692,1.6749,338.4,217.8,98.3,23,37,-4292198184000,-4292194566000,-4292190981000,-4292188032000,-4292185083000,-4292181498000,-4292177880000
09257,1834-06-21,08:19:45,6,127,T,T-,-0.2583,2.3806,1.3871,335,214.2,85.6,-24,-125,-4276952871000,-4276949247000,-4276945389000,-4276942821000,-4276940253000,-4276936395000,-4276932771000
09258,1834-12-16,04:48:07,6,132,P,P,0.6249,1.7487,0.6746,334.8,178.2,0,24,-73,-4261586363000,-4261581665000,,-4261576319000,,-4261570973000,-4261566275000
09259,1835-05-12,15:28:42,6,99,N,Ne,1.516,0.0489,-0.8969,58.8,0,0,-17,127,-4248838848000,,,-4248837084000,,,-4248835320000
09260,1835-06-10,22:35:53,6,137,P,P,-0.9888,1.0184,0.0681,246.4,56.8,0,-24,21,-4246313245000,-4246307557000,,-4246305853000,,-4246304149000,-4246298461000
09261,1835-12-05,05:20:19,6,142,N,N,1.329,0.4717,-0.6322,206.9,0,0,23,-83,-4230994994000,,,-4230988787000,,,-4230982580000
09262,1836-05-01,08:06:48,5,109,P,P,0.8299,1.3173,0.3528,274,125.2,0,-14,-122,-4218199817000,-4218195353000,,-4218191597000,,-4218187841000,-4218183377000
09263,1836-10-24,13:14:42,5,114,P,P,-0.9472,1.1435,0.0966,283.9,72.5,0,11,158,-4202975240000,-4202968898000,,-4202966723000,,-4202964548000,-4202958206000
09264,1837-04-20,20:40:45,5,119,T,T+,0.1033,2.6772,1.6597,346,222.5,100.2,-12,50,-4187571140000,-4187567435000,-4187563766000,-4187560760000,-4187557754000,-4187554085000,-4187550380000
09265,1837-10-13,23:17:06,5,124,T,T-,-0.1878,2.5074,1.5192,328.6,212.6,92,8,7,-4172354837000,-4172351357000,-4172347739000,-4172344979000,-4172342219000,-4172338601000,-4172335121000
09266,1838-04-10,01:58:48,5,129,P,P,-0.6622,1.6788,0.6076,336.1,173.9,0,-8,-30,-4156966160000,-4156961294000,,-4156956077000,,-4156950860000,-4156945994000
09267,1838-10-03,14:41:28,5,134,P,P,0.5182,1.8849,0.9288,300,182.1,0,4,137,-4141712917000,-4141709380000,,-4141703917000,,-4141698454000,-4141694917000
09268,1839-02-28,08:53:39,5,101,N,Ne,1.5671,0.0232,-1.0576,46.8,0,0,9,-129,-4128938990000,,,-4128937586000,,,-4128936182000
09269,1839-03-30,02:03:05,5,139,N,N,-1.3853,0.3595,-0.7269,181.4,0,0,-5,-30,-4126375662000,,,-4126370220000,,,-4126364778000
09270,1839-08-24,21:52:11,5,106,N,N,-1.3743,0.3281,-0.656,155.5,0,0,-12,33,-4113602739000,,,-4113598074000,,,-4113593409000
09271,1839-09-23,06:57:39,5,144,N,N,1.2311,0.583,-0.3855,197,0,0,1,-107,-4111065656000,,,-4111059746000,,,-4111053836000
09272,1840-02-17,14:02:34,5,111,P,P,0.8074,1.3917,0.3615,297,132.3,0,13,153,-4098342361000,-4098337420000,,-4098333451000,,-4098329482000,-4098324541000
09273,1840-08-13,07:23:08,5,116,P,P,-0.6716,1.6443,0.6074,323.5,170,0,-15,-109,-4082987922000,-4082983317000,,-4082978217000,,-4082973117000,-4082968512000
09274,1841-02-06,02:07:13,5,121,T,T+,0.0812,2.6999,1.7178,324.7,212.4,97.5,16,-28,-4067714113000,-4067710744000,-4067707297000,-4067704372000,-4067701447000,-4067698000000,-4067694631000
09275,1841-08-02,10:00:51,5,126,T,T+,0.0846,2.7381,1.6678,373.8,235,104.6,-18,-149,-4052394368000,-4052390204000,-4052386292000,-4052383154000,-4052380016000,-4052376104000,-4052371940000
